Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2025-03-24T07:34:34.543400Z,,CASH TOP-UP,,,EUR 500,EUR,1.0000
2025-03-24T07:37:03.793Z,VUAA,BUY - MARKET,4.96988251,EUR 100.61,EUR 500,EUR,1.0000
2025-03-24T07:41:17.347415Z,,CASH TOP-UP,,,EUR 500,EUR,1.0000
2025-03-24T07:43:26.886014Z,,CASH WITHDRAWAL,,,EUR -500,EUR,1.0000
2025-03-24T07:45:38.562285Z,,CASH TOP-UP,,,USD 539.40,USD,1.0859
2025-03-24T13:33:47.205Z,LMT,BUY - MARKET,1.26799264,USD 424.34,USD 539.40,USD,1.0844
2025-04-07T08:34:19.651927Z,,CASH TOP-UP,,,EUR 400,EUR,1.0000
2025-04-08T06:01:09.249Z,AIR1,BUY - MARKET,2.83018867,EUR 140.98,EUR 400,EUR,1.0000
2025-04-24T17:32:23.716283Z,AIR1,DIVIDEND,,,EUR 7.40,EUR,1.0000
2025-05-14T05:53:18.154686Z,,CASH TOP-UP,,,USD 700,USD,1.1210
2025-05-14T13:30:50.323Z,UNH,BUY - MARKET,2.18204488,USD 320.80,USD 700,USD,1.1248
2025-06-25T10:27:39.119700Z,UNH,DIVIDEND,,,USD 4.10,USD,1.1633
2025-06-30T13:57:29.168012Z,LMT,DIVIDEND,,,USD 3.55,USD,1.1742
2025-07-01T02:19:34.817017Z,,CASH WITHDRAWAL,,,USD -7.65,USD,1.1809
2025-07-01T17:03:18.948901Z,,CASH WITHDRAWAL,,,EUR -7.40,EUR,1.0000
2025-07-01T17:57:34.789851Z,,CASH TOP-UP,,,USD 500,USD,1.1809
2025-07-01T17:57:35Z,JOBY,BUY - MARKET,50.70993915,USD 9.86,USD 500,USD,1.1809
2025-07-28T11:19:00.772530Z,,CASH TOP-UP,,,USD 219.26,USD,1.1680
2025-07-28T13:30:49Z,ACHR,BUY - MARKET,19.335097,USD 11.34,USD 219.26,USD,1.1665
2025-08-01T06:31:46.578128Z,,CASH TOP-UP,,,USD 119.43,USD,1.1458
2025-08-01T13:30:01.570Z,ALGN,BUY - MARKET,0.91350683,USD 129.49,USD 119.43,USD,1.1596
2025-08-12T10:40:34.096417Z,,CASH TOP-UP,,,USD 216.52,USD,1.1636
2025-08-12T13:31:06Z,ACHR,BUY - MARKET,23.28216216,USD 9.25,USD 216.52,USD,1.1649
2025-08-27T16:00:13.187Z,ALGN,SELL - MARKET,0.91350683,USD 141.75,USD 129.48,USD,1.1637
2025-08-27T16:01:02.819Z,NVDA,BUY - MARKET,0.70505494,USD 182,USD 129.48,USD,1.1637
2025-09-02T13:52:58Z,JOBY,SELL - MARKET,50.70993915,USD 13.48,USD 681.85,USD,1.1671
2025-09-02T13:53:39Z,KO,BUY - MARKET,9.92195478,USD 68.55,USD 681.85,USD,1.1671
2025-09-23T11:38:16.446415Z,UNH,DIVIDEND,,,USD 4.10,USD,1.1819
2025-09-26T13:07:06.709963Z,LMT,DIVIDEND,,,USD 3.55,USD,1.1716
2025-10-02T15:47:03.761047Z,KO,DIVIDEND,,,USD 4.30,USD,1.1717
2025-10-06T19:33:43Z,ACHR,SELL - MARKET,42.61725916,USD 13.75,USD 586.19,USD,1.1741
2025-10-09T19:09:57Z,INTU,BUY - MARKET,0.91989023,USD 648.61,USD 598.14,USD,1.1577
2025-10-21T16:38:19.456Z,UNH,SELL - MARKET,2.18204488,USD 368.88,USD 804.90,USD,1.1640
2025-10-21T16:39:00.428Z,AIR1,SELL - MARKET,2.83018867,EUR 207.25,EUR 585.09,EUR,1.0000
2025-10-21T16:39:35.536Z,VUAA,SELL - MARKET,4.96988251,EUR 111.36,EUR 552.06,EUR,1.0000
2025-10-22T16:49:25Z,INTU,SELL - MARKET,0.91989023,USD 675.23,USD 619.58,USD,1.1647
2025-10-22T16:49:50Z,KO,SELL - MARKET,9.92195478,USD 71.24,USD 705.07,USD,1.1646
2025-10-24T16:49:35.746Z,NVS,BUY - MARKET,4.58051431,USD 130.66,USD 600,USD,1.1651
2025-10-24T16:50:53Z,IT,BUY - MARKET,2.38593554,USD 250.84,USD 600,USD,1.1651
2025-10-24T16:52:49Z,LNTH,BUY - MARKET,10.61450631,USD 56.39,USD 600,USD,1.1651
2025-10-24T16:55:37.916Z,NVDA,BUY - MARKET,1.77287696,USD 185.23,USD 329.55,USD,1.1653
2025-10-29T13:30:21.755Z,NVDA,SELL - MARKET,2.4779319,USD 208,USD 514.11,USD,1.1669
2025-11-13T15:13:07.088Z,NVDA,BUY - MARKET,2.70779872,USD 189.39,USD 514.11,USD,1.1654
2025-11-26T10:39:02.617Z,VWCE,BUY - MARKET,7.90126459,EUR 143.92,EUR 1137.15,EUR,1.0000
2025-12-03T19:38:53.452Z,NVS,SELL - MARKET,4.58051431,USD 133.92,USD 611.85,USD,1.1701
2025-12-03T19:39:31Z,AMD,BUY - MARKET,2.81812733,USD 216.57,USD 611.84,USD,1.1700
2025-12-26T19:35:38.207376Z,NVDA,DIVIDEND,,,USD 0.02,USD,1.1804
2025-12-30T12:36:36.925998Z,LMT,DIVIDEND,,,USD 3.80,USD,1.1793
